1565,2715,"Alfonso Bonilla Aragon Intl","Cali","Colombia","CLO","SKCL",3.54,-76.38,3162,-5,"U"
1696,3024,"Bandaranaike Intl Colombo","Colombo","Sri Lanka","CMB","VCBI",7.18,79.88,30,6,"U"
2028,3931,"Chiang Mai Intl","Chiang Mai","Thailand","CNX","VTCC",18.76,98.96,1036,7,"U"
379,609,"Kastrup","Copenhagen","Denmark","CPH","EKCH",55.61,12.65,17,1,"E"
530,797,"Cape Town Intl","Cape Town","South Africa","CPT","FACT",-33.96,18.60,151,2,"U"
1564,2714,"Rafael Nunez","Cartagena","Colombia","CTG","SKCG",10.44,-75.51,4,-5,"U"
1405,2287,"New Chitose","Sapporo","Japan","CTS","RJCC",42.77,141.69,82,9,"U"
1822,3395,"Shuangliu","Chengdu","China","CTU","ZUUU",30.57,103.94,1625,8,"U"
1273,1852,"Cancun Intl","Cancun","Mexico","CUN","MMUN",21.03,-86.87,20,-6,"S"
1589,2812,"Teniente Alejandro Velasco Astete Intl","Cuzco","Peru","CUZ","SPZO",-13.53,-71.93,10860,-5,"U"
1298,1925,"Gerrard Smith Intl","Cayman Barac","Cayman Islands","CYB","MWCB",19.68,-79.88,8,-5,"U"
1198,1800,"Cozumel Intl","Cozumel","Mexico","CZM","MMCZ",20.52,-86.92,15,-6,"S"
1741,3196,"Danang Intl","Danang","Vietnam","DAD","VVDN",16.04,108.19,33,7,"U"
712,1177,"Mwalimu Julius K Nyerere Intl","Dar Es Salaam","Tanzania","DAR","HTDA",-6.87,39.20,182,3,"U"
734,1200,"Dubrovnik","Dubrovnik","Croatia","DBV","LDDU",42.56,18.26,527,1,"E"
161,6375,"Diqing Airport","Shangri-La","China","DIG","ZPDQ",27.79,99.67,0,8,"U"
1393,2241,"Doha Intl","Doha","Qatar","DOH","OTBD",25.26,51.56,35,3,"U"
1608,2877,"Melville Hall","Dominica","Dominica","DOM","TDPD",15.54,-61.30,73,-4,"U"
2030,3940,"Bali Ngurah Rai","Denpasar","Indonesia","DPS","WADD",-8.74,115.16,14,8,"N"
22,338,"Dresden","Dresden","Germany","DRS","EDDC",51.13,13.76,755,1,"E"
2060,3999,"Darwin Intl","Darwin","Australia","DRW","YPDN",-12.40,130.87,103,9,"N"
365,599,"Dublin","Dublin","Ireland","DUB","EIDW",53.42,-6.27,242,0,"E"
532,799,"Durban Intl","Durban","South Africa","DUR","FADN",-29.97,30.95,33,2,"U"
28,345,"Dusseldorf","Duesseldorf","Germany","DUS","EDDL",51.28,6.76,147,1,"E"
1378,2188,"Dubai Intl","Dubai","United Arab Emirates","DXB","OMDB",25.25,55.36,62,4,"U"
2190,5780,"Ercan International Airport","Nicosia","Cyprus","ECN","LCEN",35.15,33.49,404,2,"E"
331,535,"Edinburgh","Edinburgh","United Kingdom","EDI","EGPH",55.95,-3.37,135,0,"E"
357,585,"Eindhoven","Eindhoven","Netherlands","EIN","EHEH",51.45,5.37,74,1,"E"
1627,2903,"Terrance B Lettsome Intl","Tortola","British Virgin Islands","EIS","TUPJ",18.44,-64.54,15,-4,"U"
1623,2898,"F D Roosevelt","Oranjestad","Netherlands Antilles","EUX","TNCE",17.49,-62.97,129,-4,"U"
2048,3964,"Zvartnots","Yerevan","Armenia","EVN","UDYZ",40.14,44.39,2838,4,"E"
1011,1555,"Fiumicino","Rome","Italy","FCO","LIRF",41.80,12.25,15,1,"E"
1609,2878,"Le Lamentin","Fort-de-france","Martinique","FDF","TFFF",14.59,-61.00,16,-4,"U"
660,1066,"Saiss","Fes","Morocco","FEZ","GMFF",33.92,-4.97,1900,0,"N"
1017,1563,"Firenze","Florence","Italy","FLR","LIRQ",43.80,11.20,142,1,"E"
2117,4091,"Madeira","Funchal","Portugal","FNC","LPMA",32.69,-16.77,192,0,"E"
1502,2559,"Pinto Martins Intl","Fortaleza","Brazil","FOR","SBFZ",-3.77,-38.53,82,-3,"S"
24,340,"Frankfurt Main","Frankfurt","Germany","FRA","EDDF",50.02,8.54,364,1,"E"
2077,4024,"Mundo Maya International","Flores","Guatemala","FRS","MGTK",16.91,-89.86,427,-6,"U"
638,1051,"Fuerteventura","Fuerteventura","Spain","FUE","GCFV",28.45,-13.86,83,0,"E"
291,498,"Guernsey","Guernsey","Guernsey","GCI","EGJB",49.43,-2.60,336,0,"E"
1299,1926,"Owen Roberts Intl","Georgetown","Cayman Islands","GCM","MWCR",19.29,-81.35,8,-5,"U"
1139,1738,"Gibraltar","Gibraltar","Gibraltar","GIB","LXGB",36.15,-5.34,15,1,"N"
1503,2560,"Galeao Antonio Carlos Jobim","Rio De Janeiro","Brazil","GIG","SBGL",-22.80,-43.24,28,-3,"S"
329,534,"Glasgow","Glasgow","United Kingdom","GLA","EGPF",55.87,-4.43,26,0,"E"
1440,2378,"Gimpo","Seoul","South Korea","GMP","RKSS",37.55,126.79,58,9,"U"
1611,2882,"Point Salines Intl","Point Salines","Grenada","GND","TGPY",12.00,-61.78,41,-4,"U"
460,687,"Landvetter","Gothenborg","Sweden","GOT","ESGG",57.66,12.27,506,1,"E"
1505,2564,"Guarulhos Gov Andre Franco Montouro","Sao Paulo","Brazil","GRU","SBGR",-23.43,-46.46,2459,-3,"S"
764,1223,"Granada","Granada","Spain","GRX","LEGR",37.18,-3.77,1860,1,"E"
1041,1609,"Graz","Graz","Austria","GRZ","LOWG",46.99,15.43,1115,1,"E"
1169,1767,"La Aurora","Guatemala City","Guatemala","GUA","MGGT",14.58,-90.52,4952,-6,"U"
1395,2246,"Guam Intl","Agana","Guam","GUM","PGUM",13.48,144.79,298,10,"U"
1095,1665,"Geneve Cointrin","Geneva","Switzerland","GVA","LSGG",46.23,6.10,1411,1,"E"
1555,2673,"Jose Joaquin De Olmedo Intl","Guayaquil","Ecuador","GYE","SEGU",-2.15,-79.88,19,-5,"U"
26,342,"Hamburg","Hamburg","Germany","HAM","EDDH",53.63,9.98,53,1,"E"
1742,3199,"Noibai Intl","Hanoi","Vietnam","HAN","VVNB",21.22,105.80,39,7,"U"
1788,3336,"Hobart","Hobart","Australia","HBA","YMHB",-42.83,147.51,13,10,"O"
1828,3410,"Borg El Arab Intl","Alexandria","Egypt","HBE","HEBA",30.91,29.69,177,2,"U"
229,421,"Helsinki Vantaa","Helsinki","Finland","HEL","EFHK",60.31,24.96,179,2,"E"
911,1452,"Nikos Kazantzakis","Heraklion","Greece","HER","LGIR",35.33,25.18,115,2,"E"
1708,3077,"Hong Kong Intl","Hong Kong","Hong Kong","HKG","VHHH",22.30,113.91,28,8,"U"
1738,3179,"Phuket Intl","Phuket","Thailand","HKT","VTSP",8.11,98.31,82,7,"U"
540,820,"Lanseria","Johannesburg","South Africa","HLA","FALA",-25.93,27.92,4517,2,"U"
1434,2359,"Tokyo Intl","Tokyo","Japan","HND","RJTT",35.55,139.77,35,9,"U"
1825,3400,"Taiping","Harbin","China","HRB","ZYHB",45.62,126.25,457,8,"U"
695,1130,"Hurghada Intl","Hurghada","Egypt","HRG","HEGN",27.17,33.79,52,2,"U"
1318,1991,"Huahine","Huahine Island","French Polynesia","HUH","NTTH",-16.68,-151.02,7,-10,"U"
766,1225,"Ibiza","Ibiza","Spain","IBZ","LEIB",38.87,1.37,20,1,"E"
1751,3930,"Incheon Intl","Seoul","South Korea","ICN","RKSI",37.46,126.45,23,9,"U"
1043,1610,"Innsbruck","Innsbruck","Austria","INN","LOWI",47.26,11.34,1906,1,"E"
909,1451,"Ioannina","Ioannina","Greece","IOA","LGIO",39.69,20.82,1558,2,"E"
313,520,"Isle Of Man","Isle Of Man","Isle of Man","IOM","EGNS",54.08,-4.62,52,0,"E"
1548,2657,"Mataveri Intl","Easter Island","Chile","IPC","SCIP",-27.16,-109.42,227,-6,"S"
1117,1701,"Ataturk","Istanbul","Turkey","IST","LTBA",40.97,28.81,163,2,"E"
1426,2334,"Osaka Intl","Osaka","Japan","ITM","RJOO",34.78,135.43,50,9,"U"
293,499,"Jersey","Jersey","Jersey","JER","EGJJ",49.20,-2.19,277,0,"E"
907,1450,"Chios","Chios","Greece","JKH","LGHI",38.34,26.14,15,2,"E"
931,1468,"Mikonos","Mykonos","Greece","JMK","LGMK",37.43,25.34,405,2,"E"
536,813,"Johannesburg Intl","Johannesburg","South Africa","JNB","FAJS",-26.13,28.24,5558,2,"U"
2022,3898,"Adi Sutjipto","Yogyakarta","Indonesia","JOG","WARJ",-7.78,110.43,350,7,"N"
941,1475,"Alexandros Papadiamantis","Skiathos","Greece","JSI","LGSK",39.17,23.50,54,2,"E"
2189,5787,"Syros Airport","Syros Island","Greece","JSY","LGSO",37.42,24.95,236,2,"E"
945,1479,"Santorini","Thira","Greece","JTR","LGSR",36.39,25.47,127,2,"E"
1736,3174,"Krabi","Krabi","Thailand","KBV","VTSG",8.09,98.98,93,7,"U"
919,1458,"Kos","Kos","Greece","KGS","LGKO",36.79,27.09,412,2,"E"
1177,1779,"Norman Manley Intl","Kingston","Jamaica","KIN","MKJP",17.93,-76.78,10,-5,"U"
1133,1735,"Chisinau Intl","Chisinau","Moldova","KIV","LUKK",46.92,28.93,399,2,"E"
2058,3992,"Kansai","Osaka","Japan","KIX","RJBB",34.43,135.24,49,9,"U"
917,1456,"Kalamata","Kalamata","Greece","KLX","LGKL",37.06,22.02,26,2,"E"
444,669,"Balice","Krakow","Poland","KRK","EPKK",50.07,19.78,791,1,"E"
913,1453,"Aristotelis","Kastoria","Greece","KSO","LGKA",40.44,21.28,2167,2,"E"
1721,3125,"Tribhuvan Intl","Kathmandu","Nepal","KTM","VNKT",27.69,85.35,4390,5,"N"
1772,3304,"Kuala Lumpur Intl","Kuala Lumpur","Malaysia","KUL","WMKK",2.74,101.70,69,8,"N"
1375,2176,"Kuwait Intl","Kuwait","Kuwait","KWI","OKBK",29.22,47.96,206,3,"U"
730,1197,"Larnaca","Larnaca","Cyprus","LCA","LCLK",34.87,33.62,8,2,"E"
1171,1771,"Goloson Intl","La Ceiba","Honduras","LCE","MHLC",15.74,-86.85,49,-6,"U"
299,503,"City","London","United Kingdom","LCY","EGLC",51.50,0.05,19,0,"E"
297,502,"Gatwick","London","United Kingdom","LGW","EGKK",51.14,-0.19,202,0,"E"
301,507,"Heathrow","London","United Kingdom","LHR","EGLL",51.47,-0.46,83,0,"E"
1581,2789,"Jorge Chavez Intl","Lima","Peru","LIM","SPIM",-12.02,-77.11,113,-5,"U"
1071,1638,"Lisboa","Lisbon","Portugal","LIS","LPPT",38.78,-9.13,374,0,"E"
1021,1569,"Ljubljana","Ljubljana","Slovenia","LJU","LJLJ",46.22,14.45,1273,1,"E"
1045,1611,"Linz","Linz","Austria","LNZ","LOWL",48.23,14.18,978,1,"E"
2255,8590,"All Airports","London","United Kingdom","LON","\N",51.50,-0.12,66,0,"E"
644,1054,"Gran Canaria","Gran Canaria","Spain","LPA","GCLP",27.93,-15.38,78,0,"E"
